"t","x"
"1",-19.48538
"2",-19.58856
"3",-19.35354
"4",-19.41966
"5",-19.51106
"6",-19.46748
"7",-19.42028
"8",-19.474
"9",-19.50776
"10",-19.58184
"11",-19.57892
"12",-19.51508
"13",-19.4894
"14",-19.48844
"15",-19.48178
"16",-19.53168
"17",-19.46304
"18",-19.49595
"19",-19.54338
"20",-19.58635
"21",-19.55626
"22",-19.52787
"23",-19.43625
"24",-19.45378
"25",-19.48934
"26",-19.47218
"27",-19.40403
"28",-19.46627
"29",-19.60931
"30",-19.41321
"31",-19.49616
"32",-19.51869
"33",-19.53728
"34",-19.43859
"35",-19.59881
"36",-19.37827
"37",-19.604
"38",-19.53468
"39",-19.47115
"40",-19.61757
"41",-19.44954
"42",-19.44553
"43",-19.46061
"44",-19.41242
"45",-19.42501
"46",-19.374
"47",-19.45432
"48",-19.45692
"49",-19.47184
"50",-19.45627
"51",-19.53346
"52",-19.4675
"53",-19.40454
"54",-19.41526
"55",-19.47652
"56",-19.53466
"57",-19.50872
"58",-19.52944
"59",-19.48906
"60",-19.3921
"61",-19.43192
"62",-19.36784
"63",-19.44396
"64",-19.41736
"65",-19.43518
"66",-19.47676
"67",-19.47532
"68",-19.4663
"69",-19.41172
"70",-19.47366
"71",-19.44744
"72",-19.36256
"73",-19.51832
"74",-19.40878
"75",-19.40388
"76",-19.5131
"77",-19.44582
"78",-19.48936
"79",-19.40668
"80",-19.49002
"81",-19.4771
"82",-19.46216
"83",-19.4966
"84",-19.39358
"85",-19.416
"86",-19.54786
"87",-19.44132
"88",-19.56234
"89",-19.43746
"90",-19.51266
"91",-19.35616
"92",-19.40927
"93",-19.39552
"94",-19.3944
"95",-19.41338
"96",-19.42944
"97",-19.40228
"98",-19.47862
"99",-19.4063
"100",-19.53626
"101",-19.45826
"102",-19.5018
"103",-19.48724
"104",-19.451
"105",-19.5628
"106",-19.5234
"107",-19.53438
"108",-19.4892
"109",-19.4438
"110",-19.469
"111",-19.4934
"112",-19.4782
"113",-19.4484
"114",-19.53012
"115",-19.4183
"116",-19.49386
"117",-19.41994
"118",-19.44492
"119",-19.42571
"120",-19.48004
"121",-19.37956
"122",-19.47598
"123",-19.4971
"124",-19.42662
"125",-19.53578
"126",-19.5168
"127",-19.52162
"128",-19.45136
"129",-19.53806
"130",-19.4837
"131",-19.45558
"132",-19.51481
"133",-19.50821
"134",-19.52751
"135",-19.45881
"136",-19.50971
"137",-19.4153
"138",-19.59076
"139",-19.48092
"140",-19.49896
"141",-19.43574
"142",-19.4736
"143",-19.44408
"144",-19.44484
"145",-19.45722
"146",-19.45942
"147",-19.36262
"148",-19.48184
"149",-19.5202
"150",-19.42576
"151",-19.4513
"152",-19.47798
"153",-19.41494
"154",-19.47802
"155",-19.4572
"156",-19.5116
"157",-19.4092
"158",-19.5264
"159",-19.50254
"160",-19.49536
"161",-19.4592
"162",-19.4464
"163",-19.3918
"164",-19.5494
"165",-19.55704
"166",-19.48862
"167",-19.38798
"168",-19.58312
"169",-19.469
"170",-19.39354
"171",-19.4856
"172",-19.42142
"173",-19.494
"174",-19.3354
"175",-19.446
"176",-19.517
"177",-19.473
"178",-19.4778
"179",-19.47672
"180",-19.51816
"181",-19.50724
"182",-19.45304
"183",-19.46672
"184",-19.40318
"185",-19.4835
"186",-19.49608
"187",-19.46312
"188",-19.39336
"189",-19.5266
"190",-19.562
"191",-19.4898
"192",-19.545
"193",-19.3722
"194",-19.4404
"195",-19.5264
"196",-19.4176
"197",-19.5116
"198",-19.50038
"199",-19.479
"200",-19.4654
"201",-19.5026
"202",-19.5268
"203",-19.4538
"204",-19.48714
"205",-19.49678
"206",-19.50454
"207",-19.50426
"208",-19.5398
"209",-19.50282
"210",-19.47218
"211",-19.46478
"212",-19.5022
"213",-19.47776
"214",-19.45264
"215",-19.47816
"216",-19.46688
"217",-19.43628
"218",-19.52698
"219",-19.41876
"220",-19.51138
"221",-19.4735
"222",-19.47058
"223",-19.4733
"224",-19.4516
"225",-19.5149
"226",-19.5019
"227",-19.5335
"228",-19.5031
"229",-19.4318
"230",-19.5292
"231",-19.5
"232",-19.4751
"233",-19.47329
"234",-19.45363
"235",-19.53239
"236",-19.61721
"237",-19.41739
"238",-19.47822
"239",-19.39572
"240",-19.4928
"241",-19.47579
"242",-19.46452
"243",-19.5128
"244",-19.45849
"245",-19.41639
"246",-19.52435
"247",-19.46989
"248",-19.4668
"249",-19.43825
"250",-19.56234
"251",-19.44987
"252",-19.45597
"253",-19.42954
"254",-19.49172
"255",-19.48178
"256",-19.50401
"257",-19.48206
"258",-19.48174
"259",-19.46688
"260",-19.4653
"261",-19.44681
"262",-19.43597
"263",-19.4793
"264",-19.45009
"265",-19.48532
"266",-19.40451
"267",-19.4398
"268",-19.48486
"269",-19.43898
"270",-19.44598
"271",-19.49492
"272",-19.5402
"273",-19.38595
"274",-19.46289
"275",-19.58291
"276",-19.58791
"277",-19.5579
"278",-19.61791
"279",-19.64791
"280",-19.50789
"281",-19.63291
"282",-19.45465
"283",-19.43605
"284",-19.44945
"285",-19.50779
"286",-19.46674
"287",-19.50868
"288",-19.53614
"289",-19.49073
